The recipe,Source file count,Source file changed count,Cumulative scanning time (ns),Max scanning time (ns),Cumulative edit time (ns),Max edit time (ns)
The recipe whose stats are being measured both individually and cumulatively.,The number of source files the recipe ran over.,"The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.",The total time spent across the scanning phase of this recipe.,The max time scanning any one source file.,The total time spent across the editing phase of this recipe.,The max time editing any one source file.
org.openrewrite.java.spring.boot2.MigrateRestClientBuilderCustomizerPackageName,10,9,43628,6655,52573,5800
org.openrewrite.java.spring.boot2.SpringBootMavenPluginMigrateAgentToAgents,10,9,0,0,3495104,2669503
org.openrewrite.java.testing.junit5.EnvironmentVariables,10,9,0,0,47639965,14935056
org.openrewrite.java.migrate.jakarta.JavaxXmlWsMigrationToJakartaXmlWs,10,9,10794,1433,28711,4398
org.openrewrite.java.migrate.javax.AddCommonAnnotationsDependencies,10,9,12315,2399,27765,6081
org.openrewrite.java.spring.boot2.MigrateActuatorMediaTypeToApiVersion,10,9,0,0,4488324,901594
org.openrewrite.java.testing.mockito.ReplaceInitMockToOpenMock,10,9,0,0,206120,67271
org.openrewrite.gradle.AddDependency,10,9,719584,348977,141433,31310
org.openrewrite.maven.RemoveManagedDependency,10,9,0,0,585342,112784
org.openrewrite.apache.httpclient5.NewRequestLine,10,9,0,0,21405,2895
org.openrewrite.java.migrate.jakarta.JakartaFacesTagLibraryXml4,10,9,8976,2071,9333,1356
org.openrewrite.java.testing.junit5.UseHamcrestAssertThat,10,9,0,0,49602,12934
org.openrewrite.apache.httpclient5.StatusLine,10,9,8835,837,52080,6977
org.openrewrite.openapi.swagger.MigrateApiModelToSchema,10,9,0,0,72472,11450
org.openrewrite.java.testing.junit5.AddJupiterDependencies,10,9,5004952,1236371,4219621,3581186
org.openrewrite.java.spring.CommentOutSpringPropertyKey,10,9,0,0,45250303,924250
org.openrewrite.java.testing.mockito.RemoveInitMocksIfRunnersSpecified,10,9,0,0,157775,22696
org.openrewrite.java.migrate.RemovedToolProviderConstructor,10,9,4613,832,19619,2954
org.openrewrite.java.testing.mockito.VerifyZeroToNoMoreInteractions,10,9,12026626,9367326,986546,321207
org.openrewrite.java.dependencies.ChangeDependency,10,9,0,0,178938084,1574936
org.openrewrite.openapi.swagger.ConvertApiResponseToContent,10,9,0,0,95403,13233
org.openrewrite.java.migrate.javax.JavaxLangModelUtil,10,9,7397,705,25683,2728
org.openrewrite.java.testing.junit5.ParameterizedRunnerToParameterized,10,9,0,0,104140,9257
org.openrewrite.maven.RemoveProperty,10,9,0,0,275094,101491
org.openrewrite.java.migrate.jakarta.JavaxJwsToJakartaJws,10,9,7360,721,76079,57499
org.openrewrite.java.spring.doc.MigrateDocketBeanToGroupedOpenApiBean,10,9,8619453,4358118,224033,33882
org.openrewrite.apache.httpclient4.UpgradeApacheHttpClient_4_5,10,9,9188,1291,12470,1141
org.openrewrite.java.testing.junit5.UpdateBeforeAfterAnnotations,10,9,0,0,41230624,25459854
org.openrewrite.staticanalysis.AddSerialAnnotationToSerialVersionUID,10,9,0,0,2042338,363667
org.openrewrite.hibernate.MigrateBooleanMappings,10,9,0,0,272307,48914
org.openrewrite.java.migrate.jakarta.JavaxWebFragmentXmlToJakartaWebFragmentXml,10,9,11440,1624,45011,7400
org.openrewrite.java.migrate.jakarta.JakartaWebFragmentXml6,10,9,12751,4136,12490,2039
org.openrewrite.java.spring.boot2.MigrateHibernateConstraintsToJavax,10,9,14119,2818,36477,8573
org.openrewrite.apache.httpclient5.AddTimeUnitArgument,10,9,0,0,10229484,861094
org.openrewrite.java.spring.boot2.MigrateLocalServerPortAnnotation,10,9,0,0,156632,17634
org.openrewrite.java.testing.junit5.MigrateAssumptions,10,9,0,0,58268,22028
org.openrewrite.java.spring.cloud2022.MigrateRequestMappingOnFeignClient,10,9,0,0,120243,38144
org.openrewrite.java.testing.junit5.AddMissingNested,10,9,0,0,5954697,2046732
org.openrewrite.java.testing.dbrider.ExecutionListenerToDbRiderAnnotation,10,9,0,0,209946,17794
org.openrewrite.apache.httpclient5.UpgradeApacheHttpClient_5,10,9,11913,1265,20551,2373
org.openrewrite.java.migrate.AddStaticVariableOnProducerSessionBean,10,9,3637200,3177392,447853,226358
org.openrewrite.apache.httpclient5.UpgradeApacheHttpCore_5_NioInputBuffers,10,9,7108,1154,13021,998
org.openrewrite.hibernate.TypeDescriptorToType,10,9,36540,17848,43063,4952
org.openrewrite.java.migrate.javax.AddJaxwsRuntime,10,9,0,0,9261,4855
org.openrewrite.java.migrate.concurrent.MigrateAtomicIntegerWeakCompareAndSetToWeakCompareAndSetPlain,10,9,7119,683,36871,9221
org.openrewrite.java.migrate.ReplaceAWTGetPeerMethod,10,9,0,0,28222,4507
org.openrewrite.apache.commons.lang.UpgradeApacheCommonsLang_2_3,10,9,26610,5035,55625,7178
org.openrewrite.java.migrate.RemovedFileIOFinalizeMethods,10,9,4306,664,14948,1565
org.openrewrite.java.migrate.jakarta.JavaxJsonToJakartaJson,10,9,9053,771,18869,4518
org.openrewrite.java.migrate.jakarta.JavaxWebXmlToJakartaWebXml,10,9,12448,1774,31876,2081
org.openrewrite.java.spring.security5.UseNewRequestMatchers,10,9,0,0,152174,32763
org.openrewrite.java.migrate.jakarta.JavaxBeansXmlToJakartaBeansXml,10,9,16041,1808,53083,8242
org.openrewrite.java.testing.junit5.JUnit4to5Migration,10,9,16373949,11650011,45947,4944
org.openrewrite.gradle.UpdateJavaCompatibility,10,9,0,0,753375,175823
org.openrewrite.xml.RemoveXmlTag,10,9,0,0,705847,509791
org.openrewrite.java.migrate.jakarta.RemovedJakartaFacesResourceResolver,10,9,33619,20449,37346,5490
org.openrewrite.java.spring.cloud2022.MigrateCloudSleuthToMicrometerTracing,10,9,10778,1372,26177,4640
org.openrewrite.apache.httpclient5.RemoveByteBufferAllocators,10,9,0,0,55127,7340
org.openrewrite.apache.httpclient5.MigrateAuthScope,10,9,0,0,131031,18369
org.openrewrite.java.migrate.jakarta.JavaxXmlBindMigrationToJakartaXmlBind,10,9,16063,3831,18658,2217
org.openrewrite.java.testing.testcontainers.Testcontainers2Dependencies,10,9,21095,3040,73465,12630
